"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\cvben\Desktop\code_work\cs\Evaluator.cs", "C#", 69, 0, 0, 0, 0, 7, 76
"c:\Users\cvben\Desktop\code_work\cs\Lexer.cs", "C#", 192, 0, 0, 0, 4, 12, 208
"c:\Users\cvben\Desktop\code_work\cs\Parser.cs", "C#", 152, 0, 0, 0, 3, 7, 162
"c:\Users\cvben\Desktop\code_work\cs\Program.cs", "C#", 34, 0, 0, 0, 4, 5, 43
"c:\Users\cvben\Desktop\code_work\cs\bin\Debug\net6.0\cs.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"c:\Users\cvben\Desktop\code_work\cs\bin\Debug\net6.0\cs.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"c:\Users\cvben\Desktop\code_work\cs\cs.csproj", "XML", 0, 8, 0, 0, 0, 3, 11
"c:\Users\cvben\Desktop\code_work\cs\debug.cs", "C#", 15, 0, 0, 0, 2, 2, 19
"c:\Users\cvben\Desktop\code_work\cs\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\cvben\Desktop\code_work\cs\obj\Debug\net6.0\cs.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"c:\Users\cvben\Desktop\code_work\cs\obj\Debug\net6.0\cs.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 10, 0, 1, 11
"c:\Users\cvben\Desktop\code_work\cs\obj\Debug\net6.0\cs.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"c:\Users\cvben\Desktop\code_work\cs\obj\cs.csproj.nuget.dgspec.json", "JSON", 0, 0, 60, 0, 0, 0, 60
"c:\Users\cvben\Desktop\code_work\cs\obj\cs.csproj.nuget.g.props", "XML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\cvben\Desktop\code_work\cs\obj\cs.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\cvben\Desktop\code_work\cs\obj\project.assets.json", "JSON", 0, 0, 65, 0, 0, 0, 65
"Total", "-", 481, 25, 157, 10, 24, 44, 741